amenity,name,lon,lat
place_of_worship,Iglesia Santa Ana,-75.6151887,6.1511313
police,Oficina de Tránsito y transporte Sabaneta,-75.6187654,6.1492385
bank,Banco BBVA,-75.6149332,6.1515522
bank,Bancolombia Sabaneta,-75.617415,6.1488144
bank,Sucursal Bancolombia Sabaneta,-75.6171789,6.1501782
pharmacy,PASTEUR PARQUE SABANETA,-75.6157075,6.1518256
pharmacy,PASTEUR VEGAS PLAZA,-75.6234672,6.1513636
pharmacy,farmacenter,-75.6191319,6.151988
pharmacy,Droguería Alcántara,-75.6102094,6.1534655
pharmacy,Drogueria Luz Del Dia 2,-75.6224846,6.149998
pharmacy,Farmedica Vital,-75.6159441,6.1537085
school,Secretaria de Educacion,-75.6168527,6.1504392
pharmacy,Drogas Descuentos,-75.6167137,6.1504271
bank,Banco de Occidente,-75.6173037,6.1499698
bank,Banco Caja Social,-75.6173819,6.1499091
pharmacy,Drogueria Smart,-75.6142978,6.1513513
pharmacy,Aves Maria,-75.6140886,6.1501269
place_of_worship,Iglesia Hombre,-75.6082186,6.1598526
bank,Bancolombia,-75.6044293,6.1576664
bank,Bancolombia,-75.6115036,6.1520878
place_of_worship,Transformacion Global,-75.6057693,6.1570573
university,Universidad CES,-75.6045401,6.1579329
pharmacy,,-75.6180417,6.1496301
pharmacy,,-75.6167557,6.1524902
hospital,Hospital Venancio Diaz,-75.621831,6.1481081
bank,Cotrafa,-75.6146394,6.1513084
place_of_worship,,-75.6228729,6.1497982
place_of_worship,Iglesia Cristiana AlianzaFuente de Vida,-75.609841,6.1540419
food_court,Zona de Estaderos,-75.4326008,6.2540599
place_of_worship,Iglesia Catolica Nuestra Señor de la Candelaria,-75.4423504,6.2801675
hospital,Hospita Nuestra Señora de la Candelaria Guarne,-75.4453267,6.2817005
bank,Bancolombia oficina principal - Guarne,-75.4426625,6.2794069
place_of_worship,Capilla Santa Ana,-75.4450183,6.2822155
hospital,Hospital Nuestra Señora de la Candelaria,-75.4453297,6.2815037
place_of_worship,Capilla Santa Ana,-75.4456033,6.2825621
hospital,Centro Medico Santa Ana,-75.4439762,6.2804632
place_of_worship,Parroquia de la Santa Cruz,-75.4330312,6.0220464
police,Estación de Policía,-75.429456,6.0305082
bank,,-75.4316009,6.0311611
bank,,-75.4307051,6.0309051
pharmacy,Droguería Profamiliar Parque,-75.4312254,6.0306277
school,,-75.4294176,6.0291979
pharmacy,,-75.4311611,6.0313318
clinic,Clínica San Juan de Dios,-75.4280094,6.0432912
hospital,San Vicente de caldas,-75.6338021,6.0866457
hospital,HOSPITAL,-75.634566,6.08673
school,Corporación Universitaria Lasallista,-75.6385669,6.1002267
community_centre,IDMJI Caldas,-75.6339828,6.0930228
hospital,Hospital General de Medellin,-75.5727495,6.2344028
pharmacy,Farmacia Pasteur,-75.57863,6.1842195
bank,Davivienda,-75.5788789,6.1836905
school,Santa Clara de Asissi,-75.6046129,6.2425209
hospital,Clínica Las Vegas,-75.5766139,6.2034549
place_of_worship,Iglesia de La Candelaria,-75.5674395,6.2498851
cinema,Cinecolombia Unicentro,-75.5863053,6.2407805
place_of_worship,Iglesia del Sagrado Corazón,-75.5762761,6.247813
place_of_worship,Capilla Hospital Universitario,-75.5644127,6.2626626
place_of_worship,Iglesia de San Benito,-75.5737329,6.2541135
hospital,Clínica Medellín,-75.5638945,6.2512956
cinema,Cinecolombia Los Molinos,-75.6039942,6.2323626
cinema,Cinemark El Tesoro,-75.5588491,6.1981217
cinema,CineColombia Oviedo,-75.5756922,6.199855
school,Colegio Padre Manyanet,-75.6091329,6.2199877
place_of_worship,La Divina Eucaristía,-75.5663546,6.2067253
pharmacy,El Molino,-75.6065786,6.2442641
pharmacy,Donoto,-75.6060207,6.2457999
hospital,SOMA,-75.5645579,6.2488833
school,Colegio San jose del,-75.5443122,6.2031929
place_of_worship,Iglesia San Matias Apostol,-75.6015557,6.2672638
place_of_worship,La Consolata,-75.5982319,6.2489652
food_court,Cafeteria Central,-75.5770971,6.2622292
hospital,,-75.5525882,6.294778
police,,-75.5526577,6.2947367
school,Instituto Corferrini,-75.5538784,6.2941915
cinema,Multicine Jumbo 65 - Royal Films,-75.5852276,6.2522658
pharmacy,Farmacia Pasteur,-75.5729071,6.2007666
food_court,Soft Touch,-75.595284,6.2112934
pharmacy,Droguería Dar Salud la 81,-75.60215,6.2491887
pharmacy,Botica Junin,-75.5916503,6.2497376
pharmacy,Drogas Super Éxito,-75.5831606,6.2543881
pharmacy,Droguería Farma,-75.5959421,6.2298812
pharmacy,Drogruería La Garantía,-75.5915988,6.2317447
pharmacy,"Farmacia José Celestino Mutis, natulista",-75.5965127,6.2499097
pharmacy,Droguería Junta,-75.599662,6.2246821
pharmacy,Droguería Dromar,-75.5971685,6.2246392
pharmacy,Droguería Jesua,-75.599926,6.2255364
pharmacy,Droguería Caribe la 76,-75.5961093,6.2312791
pharmacy,Droguería Villa de Aburrá,-75.6020626,6.2346546
pharmacy,Droguería la 80 con la 25,-75.6016512,6.2272662
pharmacy,Droguería Belén 2,-75.5969243,6.2253107
pharmacy,Farmacia Pasteur,-75.5694953,6.2472379
hospital,Unidad Renal,-75.5781105,6.1948324
hospital,Quirustetic,-75.5777441,6.1948723
pharmacy,Botica Junín,-75.5970315,6.214306
pharmacy,Droguería Colsubsidio,-75.5928064,6.2392038
cinema,Cinema Vizcaya,-75.5630767,6.2079474
place_of_worship,Parroquia María Madre del Redentor,-75.6153558,6.2508006
school,Escuela Cristóbal Colón,-75.6132997,6.2504216
bank,Medellin,-75.5733791,6.2450559
